380,0.0576,0.0436,0.1039,0.1262,0.1047,0.1019,0.0583,0.1217,0.1026,0.0922,0.0418,0.116,0.0494,0.1307,0.0492,0.0957,0.1121,0.057,0.113,0.0686,0.1103,0.0527,0.0922,0.0324
390,0.0627,0.0459,0.1375,0.1861,0.1338,0.1453,0.0632,0.1793,0.1392,0.1125,0.0434,0.1612,0.0533,0.1565,0.0518,0.1205,0.1639,0.0622,0.1582,0.0776,0.1541,0.0561,0.1231,0.0332
400,0.0661,0.047,0.1964,0.3995,0.1839,0.2512,0.0674,0.3605,0.2183,0.1369,0.0433,0.2707,0.0554,0.1786,0.053,0.1629,0.3044,0.0667,0.2772,0.0881,0.2549,0.0576,0.1929,0.0329
410,0.0668,0.0475,0.2318,0.6249,0.2052,0.3194,0.0686,0.5048,0.2646,0.1412,0.0427,0.3333,0.0558,0.185,0.0529,0.1806,0.4008,0.0683,0.3477,0.0915,0.314,0.0576,0.237,0.0327
420,0.0664,0.048,0.2535,0.7914,0.2073,0.354,0.0696,0.5684,0.284,0.1366,0.0423,0.3531,0.0557,0.1812,0.0529,0.1859,0.4336,0.0688,0.367,0.0924,0.336,0.0574,0.2604,0.0323
430,0.0652,0.0491,0.2715,0.8579,0.2063,0.3801,0.0703,0.59,0.3004,0.1325,0.0429,0.3629,0.0552,0.1716,0.0535,0.1904,0.4393,0.0701,0.3643,0.0946,0.3501,0.0571,0.2846,0.0324
440,0.0648,0.0502,0.2845,0.8727,0.2059,0.3995,0.072,0.5968,0.3209,0.1287,0.0435,0.3701,0.0552,0.1565,0.0544,0.1955,0.4347,0.0725,0.3413,0.0968,0.3661,0.0574,0.3194,0.0326
450,0.0646,0.0518,0.2849,0.8723,0.2077,0.3999,0.0743,0.5947,0.3298,0.1254,0.0442,0.3704,0.0561,0.1419,0.0561,0.1961,0.4225,0.0759,0.313,0.0967,0.3818,0.0582,0.3478,0.0324
460,0.0658,0.0562,0.2737,0.8772,0.2149,0.385,0.0801,0.594,0.3287,0.1218,0.0464,0.3695,0.0601,0.1293,0.0624,0.1951,0.4072,0.0833,0.2832,0.0959,0.4085,0.0618,0.3835,0.0323
470,0.0687,0.0653,0.2519,0.8832,0.2293,0.3543,0.091,0.5935,0.3211,0.1175,0.0505,0.3677,0.0694,0.1151,0.0756,0.1936,0.387,0.0967,0.2552,0.095,0.4531,0.0698,0.4226,0.0323
